Index Annotation Celltype Tissue Type Category
187 HAh-DS15192.hotspot.twopass.fdr0.01.merge.pks.bed HA-h brain_hippocampus peaks Peaks
188 HAsp-DS14790.hotspot.twopass.fdr0.01.merge.pks.bed HA-sp spinal_cord peaks Peaks
189 HBMEC-DS13817.hotspot.twopass.fdr0.01.merge.pks.bed HBMEC blood_vessel peaks Peaks
190 HCFaa-DS13480.hotspot.twopass.fdr0.01.merge.pks.bed HCFaa heart peaks Peaks
191 HCF-DS12501.hotspot.twopass.fdr0.01.merge.pks.bed HCF heart peaks Peaks
192 HCM-DS12599.hotspot.twopass.fdr0.01.merge.pks.bed HCM heart peaks Peaks
193 HConF-DS11642.hotspot.twopass.fdr0.01.merge.pks.bed HConF eye peaks Peaks
194 HCPEpiC-DS12447.hotspot.twopass.fdr0.01.merge.pks.bed HCPEpiC epithelium peaks Peaks
195 HCT116-DS13551.hotspot.twopass.fdr0.01.merge.pks.bed HCT-116 colon peaks Peaks
196 HEEpiC-DS12763.hotspot.twopass.fdr0.01.merge.pks.bed HEEpiC epithelium peaks Peaks
197 Hela-all.fdr0.01.bed HeLa-S3 cervix peaks Peaks
198 HepG2-all.fdr0.01.bed HepG2 liver peaks Peaks
199 HESC-all.fdr0.01.bed HESC es_cell peaks Peaks
200 hESCT0-DS11909.hotspot.twopass.fdr0.01.merge.pks.bed hESCT0 es_cell peaks Peaks
201 HFF-DS15115.hotspot.twopass.fdr0.01.merge.pks.bed HFF foreskin peaks Peaks
202 HFF_MyC-DS15079.hotspot.twopass.fdr0.01.merge.pks.bed HFF-Myc foreskin peaks Peaks
203 HGF-DS11752.hotspot.twopass.fdr0.01.merge.pks.bed HGF gingival peaks Peaks
204 HIPEpiC-DS12684.hotspot.twopass.fdr0.01.merge.pks.bed HIPEpiC epithelium peaks Peaks
205 HL60-DS11809.hotspot.twopass.fdr0.01.merge.pks.bed HL-60 blood peaks Peaks
206 HMEC-all.fdr0.01.bed HMEC breast peaks Peaks
207 HMF-DS13363.hotspot.twopass.fdr0.01.merge.pks.bed HMF breast peaks Peaks
208 HMVEC_dAd-DS12957.hg19.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dAd blood_vessel peaks Peaks
209 HMVEC_dBlAd-DS13337.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dBl-Ad blood_vessel peaks Peaks
210 HMVEC_dBlNeo-DS13242.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dBl-Neo blood_vessel peaks Peaks
